model,corstr,coef,estimate,se,wald,p_value
base,exchangeable,(Intercept),1.0043449300121465,0.07371850303642817,185.6148709934274,0
base,exchangeable,time_m,0.001408932877069287,0.002806189881310935,0.2520847062305945,0.6156109820068176
base,exchangeable,trajPre-DBS,-0.10285541126533444,0.13865231142904358,0.5503006960913452,0.45819485590917275
base,exchangeable,trajPost-DBS,0.14004553761557678,0.1319841668116125,1.1258871952009017,0.28865431085243054
base,exchangeable,time_m:trajPre-DBS,-0.00677384468186026,0.005022489978253877,1.8189983754840324,0.1774325491257015
base,exchangeable,time_m:trajPost-DBS,-0.0027199023303961286,0.0031200770164570837,0.7599341994538178,0.3833491155434072
base,ar1,(Intercept),1.0155507909367336,0.07546834448278657,181.0813197954396,0
base,ar1,time_m,-0.0021699276902145234,0.003157737984813208,0.4722134371139811,0.49197064253327905
base,ar1,trajPre-DBS,0.22598124452062185,0.16790178645846196,1.8114825635401712,0.17833048474239332
base,ar1,trajPost-DBS,0.17120657366630468,0.16588536542536717,1.0651842202408306,0.3020357555671108
base,ar1,time_m:trajPre-DBS,-0.0035513260144138217,0.006198331371852328,0.3282702336744855,0.566679416723776
base,ar1,time_m:trajPost-DBS,-0.0022506806750490125,0.004277790824716841,0.2768143975409068,0.5987968158665568
adj,exchangeable,(Intercept),-0.29365949214773374,0.3130893170504785,0.8797344280575373,0.34827442773048956
adj,exchangeable,time_m,-7.929533880664661e-4,0.003495539570519529,0.05145965526349424,0.8205425546444984
adj,exchangeable,trajPre-DBS,-0.13745044936658926,0.12514396175830497,1.2063477787325343,0.27205664306595134
adj,exchangeable,trajPost-DBS,-0.09338131360668658,0.13643194630223934,0.46847649782414635,0.49368888692058166
adj,exchangeable,updrs3_score,0.017223780436928467,0.003891640804833086,19.58806174646454,9.606760996705432e-6
adj,exchangeable,LEDD,1.223893507570018e-4,8.771224028394306e-5,1.9470040493646723,0.16291005907030542
adj,exchangeable,BMI,8.106983210958552e-4,4.783059918552742e-4,2.872810003610891,0.09008745266355478
adj,exchangeable,SEX1,0.005846368980642422,0.11351850722976362,0.002652400492185244,0.9589259376340227
adj,exchangeable,gds,-0.004864548845926214,0.02314581010398539,0.044171318781410084,0.8335351976258271
adj,exchangeable,stai,0.010309938992506318,0.004621319781352949,4.97714333471037,0.025684360541863738
adj,exchangeable,time_m:trajPre-DBS,-0.010306274216398474,0.005868391367180062,3.084361317561007,0.07904829357563159
adj,exchangeable,time_m:trajPost-DBS,0.001709238527745983,0.0042221951729251635,0.16388104985781443,0.685608176318123
adj,ar1,(Intercept),0.043557237735647125,0.2903577466490501,0.02250369463372087,0.8807548992897404
adj,ar1,time_m,-3.751433909907602e-4,0.003774540802272798,0.0098779392463072,0.9208303511882496
adj,ar1,trajPre-DBS,0.15772134561607784,0.1892196774430487,0.6947816691234895,0.4045427042190839
adj,ar1,trajPost-DBS,0.11708531398619268,0.1761502330264722,0.44181291379942816,0.5062487345448342
adj,ar1,updrs3_score,0.00966759837405766,0.004233610618497096,5.214532474167972,0.02239886876270991
adj,ar1,LEDD,7.234943069729289e-6,1.0341193190715819e-4,0.004894732170390831,0.9442236165525252
adj,ar1,BMI,-0.0015862893479254416,0.001232215233882416,1.657263893171711,0.19797315277391847
adj,ar1,SEX1,0.018151658528974577,0.12439665627364721,0.021291938945877765,0.8839864565638086
adj,ar1,gds,-0.03225520591784925,0.029110947130838054,1.2276850477423158,0.26785771397355496
adj,ar1,stai,0.0115269935463907,0.004022571414630307,8.211539264739942,0.004162482580583937
adj,ar1,time_m:trajPre-DBS,-0.004420374810428249,0.008227742785525152,0.28864017425785926,0.5910932591347636
adj,ar1,time_m:trajPost-DBS,-0.0027901474081884086,0.005825618203075621,0.22938777007300412,0.6319781597551133
